Spec_interaction,EF,BEF,ISA,CSA,ITA,CTA,Comm_assembly,Spec_coexistence,Comm_composition,Diversity,S_comp_change,Beta,Species_accumulation,Dist_decay,Div_comp_gradient,Relative_commoness,Beta_related,Comm_comparison,First_author,Year,Title,Journal,Volume,Pages,DOI
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HACKER, SD",1995,A HERBIVORE PARADOX - WHY SALT-MARSH APHIDS LIVE ON POOR-QUALITY PLANTS,AMERICAN NATURALIST,145,192-210,10.1086/285736
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SMITH, DC",1995,"PHENOTYPIC DESIGN, PLASTICITY, AND ECOLOGICAL PERFORMANCE IN 2 TADPOLE",AMERICAN NATURALIST,145,211-233,10.1086/285737
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOSQUE, C",1995,NEST PREDATION AS A SELECTIVE FACTOR IN THE EVOLUTION OF DEVELOPMENTAL,AMERICAN NATURALIST,145,234-260,10.1086/285738
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HOLEKAMP, KE",1995,RAPID CHANGE IN OFFSPRING SEX-RATIOS AFTER CLAN FISSION IN THE SPOTTED,AMERICAN NATURALIST,145,261-278,10.1086/285739
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ALBERTS, SC",1995,BALANCING COSTS AND OPPORTUNITIES - DISPERSAL IN MALE BABOONS,AMERICAN NATURALIST,145,279-306,10.1086/285740
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"COOK, RR",1995,ON EXPECTED LIFETIMES OF SMALL-BODIED AND LARGE-BODIED SPECIES OF BIRDS,AMERICAN NATURALIST,145,307-315,10.1086/285741
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MOLLER, AP",1995,PATTERNS OF FLUCTUATING ASYMMETRY IN SEXUAL ORNAMENTS OF BIRDS FROM,AMERICAN NATURALIST,145,316-327,10.1086/285742
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BRIDGHAM, SD",1995,"NUTRIENT-USE EFFICIENCY - A LITTERFALL INDEX, A MODEL, AND A TEST ALONG",AMERICAN NATURALIST,145,1-21,10.1086/285725
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOREAU, M",1995,CONSUMERS AS MAXIMIZERS OF MATTER AND ENERGY-FLOW IN ECOSYSTEMS,AMERICAN NATURALIST,145,22-42,10.1086/285726
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"THRALL, PH",1995,FREQUENCY-DEPENDENT DISEASE TRANSMISSION AND THE DYNAMICS OF THE,AMERICAN NATURALIST,145,43-62,10.1086/285727
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHEVERUD, JM",1995,MORPHOLOGICAL INTEGRATION IN THE SADDLE-BACK TAMARIN,AMERICAN NATURALIST,145,63-89,10.1086/285728
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ORIVE, ME",1995,SENESCENCE IN ORGANISMS WITH CLONAL REPRODUCTION AND COMPLEX,AMERICAN NATURALIST,145,90-108,10.1086/285729
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LEVIN, DA",1995,PLANT OUTLIERS - AN ECOGENETIC PERSPECTIVE,AMERICAN NATURALIST,145,109-118,10.1086/285730
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REEVE, HK",1995,PARTITIONING OF REPRODUCTION IN MOTHER-DAUGHTER VERSUS SIBLING,AMERICAN NATURALIST,145,119-132,10.1086/285731
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WRIGHT, DD",1995,FIRST-COHORT ADVANTAGE HYPOTHESIS - A NEW TWIST ON FACULTATIVE SEX-RATIO,AMERICAN NATURALIST,145,133-145,10.1086/285732
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GETTY, T",1995,"SEARCH, DISCRIMINATION, AND SELECTION - MATE CHOICE BY PIED FLYCATCHERS",AMERICAN NATURALIST,145,146-154,10.1086/285733
