"n","S","Tot.incid","Whitt","C_segSc","C_togSc","C_jacc","C_sor","C_forbes","C_alroy","C_FETmP","C_pears","C_match","C_ratio","C_combo","C_checker","C_conn","C_segSc_Z","C_togSc_Z","C_jacc_Z","C_sor_Z","C_match_Z"
15,17,64,3.984375,0.0445378151260504,0.055812324929972,0.131194255091314,0.202410340954094,1.05568321078431,0.445000367250098,0.531481835158306,0.0320646860053161,0.629411764705882,1.5729537366548,15,60,0.250980392156863,-0.118131796548993,0.125132738335851,0.127142226465317,0.129512114659837,0.125124741808966
15,17,67,3.80597014925373,0.0455882352941176,0.0524509803921569,0.148723906812142,0.21189543158333,1.38375668449198,0.447112049050189,0.519754510195687,0.0351454342882954,0.612745098039216,1.35636363636364,15,64,0.262745098039216,-0.11838872822193,0.145092507454366,0.158058597152719,0.129422237026212,0.134033803466513
17,16,138,1.97101449275362,0.0481617647058824,0.0787377450980392,0.326358215586157,0.446310706405223,1.21447194059248,0.810154326869785,0.586130505523888,0.0973745501907434,0.517647058823529,2.30287206266319,17,8,0.507352941176471,-0.365583679626037,0.412137024991245,0.404305822359812,0.375695968755761,0.382668070893536
14,8,45,2.48888888888889,0.0188383045525903,0.0832025117739403,0.251627340913055,0.357456369408805,1.36438041125541,0.787058750693311,0.665746455925027,0.18355804997745,0.553571428571429,2.38396624472574,11,5,0.401785714285714,-0.654804057149712,0.671115452784354,0.683984927201853,0.697501730290089,0.689667942181976
17,71,376,3.21010638297872,0.0378121671203693,0.0569623624097526,0.168281775890369,0.24118653660428,1.20799830323018,0.53708475803039,0.550018689737296,0.0568630483844837,0.586980707776068,5.46961325966851,17,953,0.311516155758078,-0.197259783647863,0.254347951657436,0.253569006098753,0.231316349149943,0.234586520192922
40,10,91,4.3956043956044,0.0458119658119658,0.0788319088319088,0.168504381755156,0.267821807249433,1.36734693877551,0.448711730799266,0.613619469281735,0.0909601534451447,0.678333333333333,1.87769784172662,24,0,0.2275,-0.856811685737613,0.632178555318031,0.648305997175581,0.548289959817831,0.579794469226152
3,60,77,2.33766233766234,0.205273069679849,0.208097928436911,0.3469868173258,0.398568738229755,0.98728813559322,0.50755500035877,0.501412429378531,0.00453720508166969,0.511299435028249,1.25862068965517,3,862,0.427777777777778,-0.00627998505876661,0.00753345214869105,0.00685276063734258,0.00682594035880632,0.00723548978229938
8,16,19,6.73684210526316,0.0422619047619048,0.0351190476190476,0.116666666666667,0.125,0.9,0.141666666666667,0.485565476190476,-0.0221185061207689,0.740625,0.622047244094488,7,103,0.1484375,-0.292559930029161,-0.0560556764177658,-0.0396351786595252,-0.048816831702006,-0.0607515415994656
4,6,13,1.84615384615385,0.133333333333333,0.211111111111111,0.433333333333333,0.555555555555556,1.11111111111111,0.790130057672296,0.563888888888889,0.15991449828237,0.55,1.66666666666667,4,2,0.541666666666667,-0.300360589851202,0.304694002803814,0.290794668158425,0.274357240901347,0.267765675847393
14,17,60,3.96666666666667,0.0432288299935359,0.062136393018746,0.153426761147349,0.226659125188537,1.26583333333333,0.458689008262194,0.549021750308515,0.0597199941029632,0.635504201680672,1.94354838709677,14,61,0.252100840336134,-0.201790251300104,0.225679205584023,0.244102618239549,0.207096752632326,0.234278165483713
6,12,22,3.27272727272727,0.0616161616161616,0.108080808080808,0.253535353535354,0.321969696969697,1.37171717171717,0.540497053611384,0.554671717171717,0.114519025648984,0.606060606060606,2.27777777777778,6,29,0.305555555555556,-0.256967565300403,0.282631246822374,0.271018720963784,0.258841634447356,0.256179509545901
8,15,38,3.15789473684211,0.0547619047619048,0.0789115646258503,0.184886621315193,0.258172885315742,0.909913832199546,0.475353760549187,0.530272108843537,0.0420864490781148,0.580952380952381,1.89873417721519,8,51,0.316666666666667,-0.105566670200875,0.112186580687559,0.12029019072582,0.110442756658065,0.105226418195836
8,36,135,2.13333333333333,0.0263038548752834,0.150453514739229,0.436547619047619,0.567867582153296,1.95315401504517,0.948647969510532,0.695068027210884,0.347338985764714,0.606150793650794,12.0886075949367,8,0,0.46875,-0.88250894528576,0.950262346960758,0.94856127851247,0.926088681614794,0.920989265167985
9,36,144,2.25,0.0400352733686067,0.108818342151675,0.334320357772739,0.441691659569811,1.48460718334953,0.786621592083345,0.616335978835979,0.18967864998337,0.562610229276896,7.5,9,111,0.444444444444444,-0.508475920241583,0.560833657461836,0.549163823427,0.535930354610293,0.542054101397836
4,35,59,2.3728813559322,0.120168067226891,0.11624649859944,0.285434173669468,0.360592236894758,0.983940242763772,0.553938461678073,0.497198879551821,-0.00855648575777478,0.505882352941176,0.728155339805825,4,256,0.421428571428571,0.00889648627519682,-0.016440291115957,-0.0190052624407822,-0.0164764426183643,-0.00626277340822498
6,34,75,2.72,0.0666666666666667,0.12038027332145,0.265983363042187,0.35477528017635,1.11237373737374,0.587284034102272,0.558021390374332,0.109194852545461,0.576648841354724,5.09049773755656,6,213,0.367647058823529,-0.228868315778622,0.254947811955699,0.249439499087809,0.245717849240515,0.243875604153127
4,18,41,1.75609756097561,0.111111111111111,0.100217864923747,0.398148148148148,0.49859943977591,1.03267973856209,0.739048824359506,0.491830065359477,-0.0356485377566626,0.491830065359477,0.574468085106383,4,35,0.569444444444444,0.0427135038899192,-0.0638226011264992,-0.0775443846655617,-0.0721039548092365,-0.0604799305780262
